UBR Number,UBR Year,Species Name,Number of birds,Details,Date first seen,Location,UBR Status,First NZ record?,Reference,
2025/025,2025,Arctic tern,1,Live,13/12/2023,"Argyle Beach, Bluff",Submitted,No,,
2025/024,2025,Sooty tern,1,Live,15/02/2025,Ōkārito ,Submitted,No,,
2025/023,2025,Wedge-tailed shearwater,2,Live,10/02/2025,"Poor Knights Island (Bird 1) and approx. 40km offshore Tutukaka, east of the Poor Knights Islands (Bird 2)",Submitted,No,,
2025/022,2025,Black tern,2,Live,3/03/2025,"South Piha beach, Auckland",Submitted,No,,
2025/021,2025,Fiordland crested penguin,1,Live,8/02/2025,"Scarborough Beach Surf Club, Christchurch",Submitted,No,,
2025/020,2025,Pacific heron,1,Live,22/01/2025,"Kowhitirangi, West Coast",Submitted,No,,
2025/019,2025,Common tern,1,Live,27/01/2025,"Tokerau Beach, Karikari Peninsula, Northland",Submitted,No,,
2025/018,2025,Pallid cuckoo,1,Dead,29/01/2025,Roadside near 92 Inland Road.,Submitted,No,,
2025/017,2025,Black shag,1,Live,11/01/2025,"Boat Harbour, North East Island, The Snares",Submitted,No,,
2025/016,2025,Little black shag,1,Live,11/01/2025,"Boat Harbour, North East Island, The Snares",Submitted,No,,
2025/015,2025,Pacific heron,1,Live,30/01/2025,"On the Takitimu North Link site between Cambridge Road and Takitimu Drive, downhill from 286 Cambridge Road",Submitted,No,,
2025/014,2025,White-tailed tropicbird,1,Live,29/01/2025,15-20 km offshore of Tutukaka Marina heading directly towards the Poor Knights Islands,Submitted,No,,
2025/013,2025,Laughing kookaburra,1,Live,1/12/2024,"West of Milton, south of Dunedin",Submitted,No,,
2025/012,2025,Common tern,1,Live,27/01/2025,Waikanae River mouth,Submitted,No,,
2025/011,2025,Sanderling,1,Live,26/01/2025,"Embankment Road, Greenpark Sands, Lake Ellesmere",Submitted,No,,
2025/010,2025,Lesser frigatebird,1,Dead,15/04/1891,Farewell Spit,Submitted,No,,
2025/009,2025,Masked woodswallow,1,Dead,16/10/2006,"Otatara, Invercargill",Submitted,No,,
2025/008,2025,Plumed whistling duck,1,Dead,1/01/1983,"Mayor Island, Bay of Plenty",Submitted,No,,
2025/007,2025,Amsterdam albatross,1,Live,1/02/2014,"at sea, between Auckland and Campbell islands",Submitted,No,,
2025/006,2025,Semipalmated plover,1,Live,4/01/2025,"Stilt Hide Pond, Robert Findlay Reserve, Miranda",Submitted,No,,
2025/005,2025,Weka,1,Live,9/01/2025,"Tinwald, Ashburton",Submitted,No,,
2025/004,2025,Common sandpiper,1,Live,4/01/2025,"Oreti River, below SH99 bridge ",Submitted,No,,
2025/003,2025,Common tern,1,Live,1/12/2024,"Miranda, Firth of Thames",Submitted,No,,
2025/002,2025,Red-tailed tropibird,1,Live,2/01/2025,"Waihou River, near end of Hauraki Road turnoff for Paeroa and Ngatea",Submitted,No,,
2025/001,2025,Gull-billed tern,4,Live (Breeding),10/10/2024,"Bell Island shellbank, Waimea Inlet",Pending,No,,
2024/112,2024,Kaka,1,Live,26/12/2024,"Burton's Pond, Waitaki",Pending,No,,
2024/111,2024,Streaked shearwater,1,Dead,27/10/2024,"Moa Point, Wellington",Pending,No,,
2024/110,2024,Plumed whistling duck,10,Live,19/12/2024,"Lake Killarney, Takaka",Pending,No,,
2024/109,2024,Wedge-tailed shearwater,1,Live,9/12/2024,"Approx 40km offshore Tutukaka, east of the Poor Knights Islands (The Petrel Station seabird tours).",Pending,No,,
2024/108,2024,South Polar skua,1,Live,1/12/2024,"Approx 40km offshore Tutukaka, east of the Poor Knights Islands (The Petrel Station seabird tours).",Pending,No,,
2024/107,2024,MacGillivray's prion,1,Dead,4/07/1954,Otaki Beach,Pending,No,,
2024/106,2024,Northern shoveler,1,Live,10/12/2024,"Bromley, Christchurch",Pending,No,,
2024/105,2024,White-rumped swiftlet,1,Live,6/12/2024,Antipodes Island,Pending,No,,
2024/104,2024,Whiskered tern,1,Live,17/06/2023,"Walker Island Shorebird Roost, Tauhou, Kaipara Harbour",Pending,No,,
2024/103,2024,Black-tailed native-hen,1,Live,7/11/2024,"Cascade Creek Campsite, Eglinton Valley, Fiordland",Pending,No,,
2024/102,2024,Common tern,1,Live,9/11/2024,"Saltwater Creek Estuary, Waikuku",Pending,No,,
2024/101,2024,South Polar skua,1,Live,27/10/2024,"Approx 40km offshore Tutukaka, east of the Poor Knights Islands (The Petrel Station seabird tours).",Pending,No,,
2024/100,2024,South Polar skua,1,Live,11/11/2024,"Approx 40km offshore Tutukaka, east of the Poor Knights Islands (The Petrel Station seabird tours).",Pending,No,,
